Copyright 1986-2019 Xilinx, Inc. All Rights Reserved.
----------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2019.2 (lin64) Build 2708876 Wed Nov  6 21:39:14 MST 2019
| Date         : Wed Apr  8 14:04:13 2020
| Host         : soccf-dbr3-022 running 64-bit Ubuntu 18.04.4 LTS
| Command      : report_utilization -hierarchical -file /home/dumi/git/riscv/freedom-dloghin/builds/e300artydevkit/obj/report/utilization.txt
| Design       : E300ArtyDevKitFPGAChip
| Device       : 7a100tcsg324-1
| Design State : Physopt postRoute
----------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------+---------------------------------------------+------------+------------+---------+------+-------+--------+--------+--------------+
|                       Instance                      |                    Module                   | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | DSP48 Blocks |
+-----------------------------------------------------+---------------------------------------------+------------+------------+---------+------+-------+--------+--------+--------------+
| E300ArtyDevKitFPGAChip                              |                                       (top) |      26582 |      25598 |     924 |   60 | 12031 |      4 |     10 |            8 |
|   (E300ArtyDevKitFPGAChip)                          |                                       (top) |         24 |         24 |       0 |    0 |    47 |      0 |      0 |            0 |
|   E300ArtyDevKitPlatform                            |                      E300ArtyDevKitPlatform |      26542 |      25559 |     924 |   59 | 11950 |      4 |     10 |            8 |
|     ResetCatchAndSync_d20                           |                       ResetCatchAndSync_d20 |          5 |          5 |       0 |    0 |    20 |      0 |      0 |            0 |
|       AsyncResetSynchronizerShiftReg_w1_d20_i0      |    AsyncResetSynchronizerShiftReg_w1_d20_i0 |          5 |          5 |       0 |    0 |    20 |      0 |      0 |            0 |
|         sync_0                                      |                  AsyncResetRegVec_w1_i0_568 |          5 |          5 |       0 |    0 |     1 |      0 |      0 |            0 |
|           reg_0                                     |                           AsyncResetReg_607 |          5 |          5 |       0 |    0 |     1 |      0 |      0 |            0 |
|         sync_1                                      |                  AsyncResetRegVec_w1_i0_569 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |            0 |
|           reg_0                                     |                           AsyncResetReg_606 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |            0 |
|         sync_10                                     |                  AsyncResetRegVec_w1_i0_570 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |            0 |
|           reg_0                                     |                           AsyncResetReg_605 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |            0 |
